event1,event2,event3,event4,event5,event6,athome,person
9,15,20,15,16,19,5,3
15,20,15,16,19,20,5,3
20,15,16,19,20,15,5,3
15,16,19,20,15,16,5,3
16,19,20,15,16,19,5,3
19,20,15,16,19,16,5,3
20,15,16,19,16,19,5,3
15,16,19,16,19,20,5,3
16,19,16,19,20,22,1,2
19,16,19,20,22,18,1,2
16,19,20,22,18,19,1,2
19,20,22,18,19,11,1,3
20,22,18,19,11,9,1,3
22,18,19,11,9,15,1,3
18,19,11,9,15,16,1,2
19,11,9,15,16,19,1,2
11,9,15,16,19,16,1,3
9,15,16,19,16,17,1,3
15,16,19,16,17,21,3,3
16,19,16,17,21,16,3,2
19,16,17,21,16,19,3,2
16,17,21,16,19,20,3,2
17,21,16,19,20,11,3,2
21,16,19,20,11,9,3,2
16,19,20,11,9,11,3,2
19,20,11,9,11,9,3,2
20,11,9,11,9,11,3,2
11,9,11,9,11,12,3,2
9,11,9,11,12,13,3,2
11,9,11,12,13,2,3,2
9,11,12,13,2,13,3,2
11,12,13,2,13,2,3,2
12,13,2,13,2,14,3,2
13,2,13,2,14,1,3,2
2,13,2,14,1,6,3,2
13,2,14,1,6,8,3,2
2,14,1,6,8,10,3,2
14,1,6,8,10,9,3,2
1,6,8,10,9,15,3,2
6,8,10,9,15,20,3,2
8,10,9,15,20,15,3,2
10,9,15,20,15,22,1,3
9,15,20,15,22,21,3,3
15,20,15,22,21,20,3,2
20,15,22,21,20,15,3,2
15,22,21,20,15,16,3,2
22,21,20,15,16,19,3,2
21,20,15,16,19,20,3,2
20,15,16,19,20,15,3,2
15,16,19,20,15,20,3,2
16,19,20,15,20,15,3,2
19,20,15,20,15,20,3,2
20,15,20,15,20,11,3,2
15,20,15,20,11,12,3,2
20,15,20,11,12,4,3,2
15,20,11,12,4,3,3,2
20,11,12,4,3,6,3,2
11,12,4,3,6,12,3,2
12,4,3,6,12,5,3,2
4,3,6,12,5,7,3,2
3,6,12,5,7,13,3,2
6,12,5,7,13,2,3,2
12,5,7,13,2,6,3,2
5,7,13,2,6,22,1,3
7,13,2,6,22,12,1,2
13,2,6,22,12,21,3,3
2,6,22,12,21,4,3,2
6,22,12,21,4,3,3,2
22,12,21,4,3,6,3,2
12,21,4,3,6,12,3,2
21,4,3,6,12,4,3,2
4,3,6,12,4,3,3,2
3,6,12,4,3,6,3,2
6,12,4,3,6,12,3,2
12,4,3,6,12,5,3,2
4,3,6,12,5,7,3,2
3,6,12,5,7,5,3,2
6,12,5,7,5,7,3,2
12,5,7,5,7,6,3,2
5,7,5,7,6,12,3,2
7,5,7,6,12,5,3,2
5,7,6,12,5,7,3,2
7,6,12,5,7,4,3,2
6,12,5,7,4,3,3,2
12,5,7,4,3,13,3,2
5,7,4,3,13,2,3,2
7,4,3,13,2,13,3,2
4,3,13,2,13,2,3,2
3,13,2,13,2,5,3,2
13,2,13,2,5,7,3,2
2,13,2,5,7,4,3,2
13,2,5,7,4,3,3,2
2,5,7,4,3,5,3,2
5,7,4,3,5,7,3,2
7,4,3,5,7,13,3,2
4,3,5,7,13,22,1,3
3,5,7,13,22,21,3,3
5,7,13,22,21,2,3,2
7,13,22,21,2,14,3,2
13,22,21,2,14,1,3,2
22,21,2,14,1,5,3,2
21,2,14,1,5,7,3,2
2,14,1,5,7,6,3,2
14,1,5,7,6,12,3,2
1,5,7,6,12,14,3,2
5,7,6,12,14,1,3,2
7,6,12,14,1,5,3,2
6,12,14,1,5,7,3,2
12,14,1,5,7,13,3,2
14,1,5,7,13,2,3,2
1,5,7,13,2,6,3,2
5,7,13,2,6,9,3,2
7,13,2,6,9,11,3,2
13,2,6,9,11,12,3,2
2,6,9,11,12,6,3,2
6,9,11,12,6,8,3,2
