time,event
18865,1
18880,1
18885,1
18895,1
18900,1
18900,1
18920,1
18925,4
18945,1
18950,1
18955,1
18955,1
19000,1
19005,1
19010,4
19010,1
19010,1
19015,1
19035,4
19065,1
19065,1
19070,1
19070,4
19075,4
19075,4
19100,4
19110,4
19120,1
19120,1
19125,4
19130,1
19145,1
19160,1
19175,1
19175,1
19180,4
19185,4
19185,1
19205,4
19210,4
19230,1
19230,4
19235,4
19240,1
19245,4
19245,1
19250,1
19260,1
19265,4
19275,4
19285,4
19290,4
19295,1
19305,1
19305,1
19330,4
19350,1
19350,1
19355,4
19360,1
19360,1
19365,4
19375,1
19385,1
19405,1
19415,1
19430,1
19430,1
19440,1
19460,1
19475,1
19485,1
19485,1
19495,1
19530,1
19540,1
19540,1
19545,4
19550,1
19565,1
19585,1
19595,1
19605,1
19620,1
19640,1
19650,1
19660,1
19675,1
19695,1
19705,1
19715,1
19730,1
19730,1
19750,1
19760,1
19765,1
19785,1
19785,1
19815,1
19820,1
19830,1
19840,1
19840,1
19845,4
19845,1
19845,4
19865,1
19870,4
19875,1
19890,1
19900,1
19920,1
19930,1
19935,1
19945,1
19950,4
19950,1
19955,4
19955,1
19970,11
19985,1
19995,4
20010,1
20025,1
20040,1
20055,1
20060,4
20080,1
20080,1
20105,4
20110,1
20115,4
20125,1
20135,1
20135,1
20135,1
20180,1
20185,4
20190,1
20190,1
20190,1
20205,1
20205,1
20220,1
20225,4
20245,1
20245,1
20250,4
20250,4
20260,1
20270,1
20270,1
20300,1
20315,1
20325,1
20325,1
20330,1
20355,1
20380,1
20380,1
20385,1
20390,4
20410,1
20410,1
20415,4
20435,1
20435,1
20440,4
20450,1
20460,1
20465,1
20480,1
20485,11
20490,1
20495,4
20505,1
20515,1
20515,1
20530,1
20535,1
20550,1
20560,1
20560,4
20570,1
20575,4
20585,4
20585,1
20600,1
20605,1
20605,1
20610,4
20615,1
20615,1
20635,4
20660,1
20665,4
20670,1
20670,1
20675,4
20685,1
20690,4
20700,4
20715,4
20725,1
20725,1
20740,4
20740,1
20755,1
20760,1
20765,11
20780,1
20785,4
20805,11
20805,11
20810,4
20810,1
20815,1
20820,11
20830,1
20835,4
20860,11
20865,1
20875,4
20885,1
20915,11
20920,1
20940,1
20965,11
20975,1
20980,4
20995,1
21000,11
21005,4
21020,11
21030,11
21050,1
21055,11
21085,11
21105,1
21110,4
21115,4
21130,1
21155,4
21180,4
21185,1
21200,1
21240,1
21255,1
21255,1
21260,4
21280,1
21285,4
21310,1
21310,4
21325,1
21330,4
21370,4
21395,4
21430,11
21440,11
21450,11
21470,11
21485,11
21505,11
21560,11
21570,11
21580,11
21615,11
21625,11
21705,11
21770,4
21790,1
21805,1
21810,4
21830,1
21885,1
21900,1
21955,1
21960,4
22000,4
22025,4
22050,4
22070,1
22105,11
22125,1
22160,11
22170,11
22180,1
22220,11
22235,1
22290,1
22305,1
22310,4
22315,4
22330,1
22345,1
22345,11
22345,11
22355,11
22355,4
22380,4
22400,11
22400,1
22400,1
22405,4
22405,4
22430,4
22430,4
22450,1
22455,11
22465,11
22490,11
22505,11
22505,1
22510,4
22515,11
22520,11
22520,11
22530,11
22530,11
22530,1
22585,1
22605,4
22630,4
22640,1
22645,4
22665,1
22680,1
22685,11
22695,11
22735,1
22770,4
22790,1
22790,1
22795,4
22795,4
22810,4
22835,4
22835,4
22855,1
22855,1
22860,4
22870,1
22900,4
22925,1
22940,4
22980,4
22980,1
22985,4
22990,4
23005,1
23005,4
23010,4
23025,1
23030,4
23035,4
23045,11
23050,1
23055,1
23080,1
23100,11
23105,1
23110,1
23120,1
23135,1
23165,1
23170,4
23175,1
23190,1
23195,4
23230,1
23245,1
23285,1
23285,11
23300,1
23340,11
23340,1
23345,4
23350,11
23355,1
23360,11
23370,11
23370,1
23375,4
23375,11
23380,11
23435,11
23450,4
23455,4
23465,11
23480,4
23490,4
23490,11
23520,4
23520,11
23530,4
23550,1
23555,4
23560,4
23580,4
23595,4
23600,4
23605,4
23615,1
23615,11
23620,4
23625,11
23630,4
23635,11
23640,4
23645,4
23655,4
23660,1
23665,1
23675,1
23690,11
23700,11
23710,11
23715,1
23720,11
23720,1
23730,1
23745,1
23770,1
23775,4
23775,1
23775,11
23785,11
23800,4
23800,1
23820,1
23830,1
23835,1
23855,1
23885,1
23890,1
23910,1
23915,4
23940,4
23940,1
23945,4
23945,1
23960,1
23970,4
23995,4
24000,1
24000,4
24005,4
24015,1
24020,4
24020,4
24020,1
24045,4
24070,4
24075,1
24110,4
24120,11
24130,1
24130,4
24135,4
24155,1
24175,11
24185,1
24200,1
24210,1
24220,11
24225,1
24230,4
24230,11
24235,11
24255,1
24310,4
24310,1
24315,4
24340,4
24340,4
24345,11
24365,4
24380,4
24385,1
24400,1
24400,11
24410,11
24420,4
24420,11
24430,11
24440,11
24440,1
24445,4
24455,1
24460,4
24465,1
24485,4
24495,11
24495,1
24505,1
24510,4
24520,1
24525,4
24535,4
24545,11
24550,1
24560,4
24570,4
24580,1
24585,4
24595,4
24605,1
24610,4
24620,4
24635,4
24635,4
24655,1
24655,1
24660,4
24660,1
24675,1
24685,11
24685,4
24710,11
24710,4
24710,1
24730,1
24735,4
24740,11
24765,1
24765,11
24770,4
24785,1
24795,4
24815,4
24820,11
24835,1
24840,1
24850,1
24855,4
24855,1
24880,4
24885,11
24895,11
24905,4
24910,1
24915,4
24925,1
24940,4
24960,1
24975,1
24980,1
25030,1
25035,1
25035,4
25055,1
25060,4
25085,4
25090,1
25125,4
25145,1
25145,1
25150,4
25170,1
25185,1
25200,1
25200,1
25205,4
25225,1
25240,1
25255,1
25255,1
25270,1
25310,1
25325,1
25325,1
25380,1
25380,1
25385,4
25385,4
25405,1
25410,4
25420,1
25435,4
25455,1
25475,1
25490,1
25505,1
25510,1
25510,4
25550,4
25565,1
25590,4
25615,4
25620,1
25655,4
25675,1
25680,4
25705,4
25730,1
25730,4
25745,1
25755,4
25760,1
25775,1
25775,1
25830,1
25830,1
25835,4
25885,1
25905,11
25940,1
25945,4
25970,4
26015,4
26035,1
26040,4
26060,1
26115,1
26150,4
26170,1
26170,1
26225,1
26225,1
26280,1
26280,1
26285,4
26295,1
26310,4
26335,4
26350,1
26360,4
26400,4
26405,1
26420,11
